ENSE00001130164,ENSE00003536114
ENSE00001130723,ENSE00003607341
ENSE00003527529,ENSE00000972028
ENSE00003527529,ENSE00000972027
ENSE00003503758,ENSE00003563014
ENSE00003888878,ENSE00003635842
ENSE00003494733,ENSE00003656376
ENSE00003494733,ENSE00003579666
ENSE00001804164,ENSE00003585431
ENSE00001804164,ENSE00003538487
ENSE00001094602,ENSE00003472337
ENSE00001094602,ENSE00003592937
ENSE00001094605,ENSE00003472337
ENSE00001094605,ENSE00003592937
ENSE00001037911,ENSE00003568402
ENSE00003670943,ENSE00003487962
ENSE00000874844,ENSE00003487962
ENSE00000874844,ENSE00001750108
ENSE00000874844,ENSE00001130723
ENSE00001462052,ENSE00001016737
ENSE00001462052,ENSE00002121776
ENSE00003678736,ENSE00003685360
ENSE00003678736,ENSE00003526905
ENSE00003678736,ENSE00003609434
ENSE00003678736,ENSE00003610202
ENSE00003624616,ENSE00001283651
ENSE00003577312,ENSE00001283651
ENSE00000753322,ENSE00003568402
ENSE00003653786,ENSE00003503758
ENSE00002177786,ENSE00001330192
ENSE00002177786,ENSE00001325964
ENSE00001232406,ENSE00003579038
ENSE00003469386,ENSE00001071855
ENSE00001302461,ENSE00003576847
ENSE00001302461,ENSE00001085843
ENSE00001302461,ENSE00003650401
ENSE00001302461,ENSE00003682530
ENSE00001302461,ENSE00001085837
ENSE00001302461,ENSE00003665631
ENSE00001302461,ENSE00001085845
ENSE00001302461,ENSE00003507195
ENSE00001302461,ENSE00003590491
ENSE00001302461,ENSE00003578323
ENSE00003607758,ENSE00003583764
ENSE00003658838,ENSE00003623868
ENSE00003501830,ENSE00003623868
ENSE00003619216,ENSE00003623868
ENSE00003604791,ENSE00003623868
ENSE00003650639,ENSE00003623868
ENSE00003633708,ENSE00003623868
ENSE00000870713,ENSE00003613308
ENSE00003471344,ENSE00003557299
ENSE00001151970,ENSE00003613308
ENSE00003623839,ENSE00003623868
ENSE00003603368,ENSE00003491811
ENSE00003476464,ENSE00003566418
ENSE00003476464,ENSE00003688925
ENSE00001731472,ENSE00003551972
ENSE00003611295,ENSE00003551972
ENSE00003611295,ENSE00003250822
ENSE00003611295,ENSE00003443109
ENSE00001160195,ENSE00001082010
ENSE00003479656,ENSE00003670210
