eei_id,exon1,exon2,p_value,chi2_statistic,odds_ratio,cachexic_with_eei,cachexic_without_eei,control_with_eei,control_without_eei,total_samples,corrected_p,significant
ENSMUSE00001226993_ENSMUSE00001208670,ENSMUSE00001226993,ENSMUSE00001208670,0.1713971375219586,1.8706807081807089,5.0,6,3,4,10,23,0.7784525510194641,False
ENSMUSE00001226993_ENSMUSE00000698437,ENSMUSE00001226993,ENSMUSE00000698437,0.1713971375219586,1.8706807081807089,5.0,6,3,4,10,23,0.7784525510194641,False
ENSMUSE00001276928_ENSMUSE00001208670,ENSMUSE00001276928,ENSMUSE00001208670,0.1713971375219586,1.8706807081807089,5.0,6,3,4,10,23,0.7784525510194641,False
ENSMUSE00001276928_ENSMUSE00000698437,ENSMUSE00001276928,ENSMUSE00000698437,0.1713971375219586,1.8706807081807089,5.0,6,3,4,10,23,0.7784525510194641,False
ENSMUSE00000168732_ENSMUSE00001208670,ENSMUSE00000168732,ENSMUSE00001208670,0.1713971375219586,1.8706807081807089,5.0,6,3,4,10,23,0.7784525510194641,False
ENSMUSE00000168732_ENSMUSE00000698437,ENSMUSE00000168732,ENSMUSE00000698437,0.1713971375219586,1.8706807081807089,5.0,6,3,4,10,23,0.7784525510194641,False
ENSMUSE00000251053_ENSMUSE00000296956,ENSMUSE00000251053,ENSMUSE00000296956,0.39177740167606856,0.7334183673469388,3.125,5,4,4,10,23,1.0,False
ENSMUSE00001257880_ENSMUSE00000283464,ENSMUSE00001257880,ENSMUSE00000283464,0.025775040315707782,4.97104700854701,12.833333333333334,7,2,3,11,23,0.7784525510194641,False
ENSMUSE00001257880_ENSMUSE00000283442,ENSMUSE00001257880,ENSMUSE00000283442,0.025775040315707782,4.97104700854701,12.833333333333334,7,2,3,11,23,0.7784525510194641,False
ENSMUSE00001257880_ENSMUSE00000283406,ENSMUSE00001257880,ENSMUSE00000283406,0.025775040315707782,4.97104700854701,12.833333333333334,7,2,3,11,23,0.7784525510194641,False
ENSMUSE00001257880_ENSMUSE00000283371,ENSMUSE00001257880,ENSMUSE00000283371,0.025775040315707782,4.97104700854701,12.833333333333334,7,2,3,11,23,0.7784525510194641,False
ENSMUSE00001257880_ENSMUSE00001207422,ENSMUSE00001257880,ENSMUSE00001207422,0.21923448059766815,1.5093750000000004,4.583333333333333,5,4,3,11,23,0.9188901995420782,False
ENSMUSE00001257880_ENSMUSE00000505337,ENSMUSE00001257880,ENSMUSE00000505337,0.21923448059766815,1.5093750000000004,4.583333333333333,5,4,3,11,23,0.9188901995420782,False
ENSMUSE00001257880_ENSMUSE00000496379,ENSMUSE00001257880,ENSMUSE00000496379,0.21923448059766815,1.5093750000000004,4.583333333333333,5,4,3,11,23,0.9188901995420782,False
ENSMUSE00001257880_ENSMUSE00000497468,ENSMUSE00001257880,ENSMUSE00000497468,0.21923448059766815,1.5093750000000004,4.583333333333333,5,4,3,11,23,0.9188901995420782,False
ENSMUSE00001257880_ENSMUSE00000495193,ENSMUSE00001257880,ENSMUSE00000495193,0.21923448059766815,1.5093750000000004,4.583333333333333,5,4,3,11,23,0.9188901995420782,False
ENSMUSE00001299390_ENSMUSE00000974847,ENSMUSE00001299390,ENSMUSE00000974847,0.025775040315707782,4.97104700854701,12.833333333333334,7,2,3,11,23,0.7784525510194641,False
ENSMUSE00001299390_ENSMUSE00001032655,ENSMUSE00001299390,ENSMUSE00001032655,0.025775040315707782,4.97104700854701,12.833333333333334,7,2,3,11,23,0.7784525510194641,False
ENSMUSE00001276048_ENSMUSE00000974847,ENSMUSE00001276048,ENSMUSE00000974847,0.025775040315707782,4.97104700854701,12.833333333333334,7,2,3,11,23,0.7784525510194641,False
ENSMUSE00001276048_ENSMUSE00001032655,ENSMUSE00001276048,ENSMUSE00001032655,0.025775040315707782,4.97104700854701,12.833333333333334,7,2,3,11,23,0.7784525510194641,False
ENSMUSE00000241961_ENSMUSE00000974847,ENSMUSE00000241961,ENSMUSE00000974847,0.025775040315707782,4.97104700854701,12.833333333333334,7,2,3,11,23,0.7784525510194641,False
ENSMUSE00000241961_ENSMUSE00001032655,ENSMUSE00000241961,ENSMUSE00001032655,0.025775040315707782,4.97104700854701,12.833333333333334,7,2,3,11,23,0.7784525510194641,False
ENSMUSE00000374954_ENSMUSE00000584453,ENSMUSE00000374954,ENSMUSE00000584453,0.262267183700432,1.2567499221910983,4.8,4,5,2,12,23,0.9865895719257248,False
ENSMUSE00000374954_ENSMUSE00000584452,ENSMUSE00000374954,ENSMUSE00000584452,0.262267183700432,1.2567499221910983,4.8,4,5,2,12,23,0.9865895719257248,False
