hsa	dme	isohsa	isodme	exoniden
ENSG00000198804	FBgn0013674	ENST00000361624	FBtr0100861	hsa0000282611-dme0000063096|0.67
ENSG00000198938	FBgn0013676	ENST00000362079	FBtr0100868	hsa0000282615-dme0000063101|0.65
ENSG00000198727	FBgn0013678	ENST00000361789	FBtr0433502	hsa0000282621-dme0000063095|0.61
ENSG00000198692	FBgn0026250	ENST00000361365	FBtr0083573	hsa0000273537-dme0000007577|0.71;hsa0000273540-dme0000007578|0.63
ENSG00000198692	FBgn0026250	ENST00000361365	FBtr0343927	hsa0000273537-dme0000007577|0.71;hsa0000273540-dme0000007578|0.63
ENSG00000198692	FBgn0026250	ENST00000361365	FBtr0083572	hsa0000273537-dme0000007577|0.71;hsa0000273540-dme0000007578|0.63
ENSG00000280969	FBgn0011284	ENST00000629237	FBtr0075884	hsa0000273821-dme0000027072|1.0;hsa0000273822-dme0000027073|0.69;hsa0000273824-dme0000027074|0.68;hsa0000273825-dme0000027075|0.7;hsa0000273826-dme0000027076|0.63
ENSG00000280969	FBgn0011284	ENST00000629237	FBtr0346390	hsa0000273821-dme0000027072|1.0;hsa0000273822-dme0000027073|0.69;hsa0000273824-dme0000027074|0.68;hsa0000273825-dme0000027075|0.7;hsa0000273826-dme0000027076|0.63
ENSG00000280969	FBgn0011284	ENST00000629237	FBtr0075885	hsa0000273821-dme0000027072|1.0;hsa0000273822-dme0000027073|0.69;hsa0000273824-dme0000027074|0.68;hsa0000273825-dme0000027075|0.7;hsa0000273826-dme0000027076|0.63
ENSG00000100220	FBgn0032781	ENST00000216038	FBtr0081205	hsa0000274399-dme0000062011|0.72;hsa0000274409-dme0000062012|0.73
ENSG00000101193	FBgn0030944	ENST00000266069	FBtr0074615	hsa0000249232-dme0000050941|0.68;hsa0000249233-dme0000050942|0.63
ENSG00000134049	FBgn0052069	ENST00000256433	FBtr0076241	hsa0000244978-dme0000015852|0.61;hsa0000244979-dme0000015853|0.61;hsa0000244981-dme0000015854|0.66
ENSG00000072401	FBgn0011217	ENST00000373910	FBtr0310554	hsa0000161546-dme0000015699|0.67;hsa0000161547-dme0000015700|0.73;hsa0000161549-dme0000015701|0.78;hsa0000161550-dme0000015702|0.78;hsa0000161552-dme0000015703|0.76
ENSG00000072401	FBgn0011217	ENST00000373910	FBtr0336876	hsa0000161546-dme0000015699|0.67;hsa0000161547-dme0000015700|0.73;hsa0000161549-dme0000015701|0.78;hsa0000161550-dme0000015702|0.78;hsa0000161552-dme0000015703|0.76
ENSG00000072401	FBgn0011217	ENST00000373910	FBtr0083018	hsa0000161546-dme0000015699|0.67;hsa0000161547-dme0000015700|0.73;hsa0000161549-dme0000015701|0.78;hsa0000161550-dme0000015702|0.78;hsa0000161552-dme0000015703|0.76
ENSG00000229937	FBgn0036030	ENST00000506618	FBtr0345033	hsa0000101898-dme0000021192|0.64
ENSG00000229937	FBgn0036030	ENST00000506618	FBtr0310663	hsa0000101898-dme0000021190|0.64
ENSG00000229937	FBgn0036030	ENST00000506618	FBtr0076416	hsa0000101898-dme0000021190|0.62
ENSG00000229937	FBgn0036030	ENST00000506618	FBtr0345034	hsa0000101898-dme0000021192|0.67
ENSG00000229937	FBgn0036030	ENST00000506618	FBtr0076415	hsa0000101898-dme0000021192|0.67
ENSG00000229937	FBgn0036030	ENST00000506618	FBtr0345032	hsa0000101898-dme0000021192|0.67
ENSG00000229937	FBgn0036030	ENST00000506618	FBtr0333856	hsa0000101898-dme0000021190|0.65
ENSG00000229937	FBgn0036030	ENST00000506618	FBtr0310662	hsa0000101898-dme0000021192|0.67
ENSG00000229937	FBgn0036030	ENST00000506618	FBtr0333857	hsa0000101898-dme0000021192|0.64
ENSG00000254598	FBgn0264492	ENST00000528848	FBtr0111141	hsa0000144590-dme0000018249|0.66
ENSG00000254598	FBgn0264492	ENST00000528848	FBtr0345138	hsa0000144590-dme0000018249|0.66
ENSG00000254598	FBgn0264492	ENST00000528848	FBtr0070044	hsa0000144590-dme0000018249|0.66
ENSG00000254598	FBgn0264492	ENST00000528848	FBtr0344974	hsa0000144590-dme0000018249|0.66
ENSG00000254598	FBgn0264492	ENST00000528848	FBtr0070042	hsa0000144590-dme0000018249|0.66
ENSG00000254598	FBgn0264492	ENST00000528848	FBtr0070043	hsa0000144590-dme0000018249|0.66
ENSG00000254598	FBgn0264492	ENST00000528848	FBtr0345139	hsa0000144590-dme0000018249|0.66
ENSG00000170950	FBgn0250906	ENST00000304801	FBtr0330717	hsa0000088677-dme0000055568|0.66
ENSG00000170950	FBgn0250906	ENST00000304801	FBtr0330718	hsa0000088677-dme0000055568|0.66
ENSG00000170950	FBgn0250906	ENST00000304801	FBtr0330716	hsa0000088677-dme0000055568|0.66
ENSG00000170950	FBgn0250906	ENST00000304801	FBtr0334162	hsa0000088677-dme0000055568|0.66
ENSG00000170950	FBgn0250906	ENST00000304801	FBtr0077739	hsa0000088677-dme0000055568|0.66
ENSG00000100764	FBgn0015282	ENST00000261303	FBtr0084520	hsa0000193646-dme0000013289|1.0;hsa0000193647-dme0000013290|0.74
ENSG00000100764	FBgn0015282	ENST00000261303	FBtr0346154	hsa0000193646-dme0000013289|1.0;hsa0000193647-dme0000013290|0.74
ENSG00000164032	FBgn0001197	ENST00000651623	FBtr0334311	hsa0000065943-dme0000008195|1.0;hsa0000065944-dme0000008196|0.74;hsa0000065945-dme0000008197|0.72;hsa0000065946-dme0000008198|0.65
ENSG00000164032	FBgn0001197	ENST00000651623	FBtr0085062	hsa0000065943-dme0000008195|1.0;hsa0000065944-dme0000008196|0.74;hsa0000065945-dme0000008197|0.72;hsa0000065946-dme0000008198|0.65
ENSG00000164032	FBgn0001197	ENST00000296417	FBtr0334311	hsa0000065943-dme0000008195|1.0;hsa0000065944-dme0000008196|0.74;hsa0000065945-dme0000008197|0.72;hsa0000065947-dme0000008198|0.66
ENSG00000164032	FBgn0001197	ENST00000296417	FBtr0085062	hsa0000065943-dme0000008195|1.0;hsa0000065944-dme0000008196|0.74;hsa0000065945-dme0000008197|0.72;hsa0000065947-dme0000008198|0.66
ENSG00000041357	FBgn0261394	ENST00000044462	FBtr0071522	hsa0000203357-dme0000040216|1.0;hsa0000203358-dme0000040217|0.65;hsa0000203362-dme0000040218|0.63
ENSG00000041357	FBgn0261394	ENST00000559082	FBtr0071522	hsa0000203357-dme0000040216|1.0;hsa0000203358-dme0000040217|0.65;hsa0000203362-dme0000040218|0.63
ENSG00000041357	FBgn0261394	ENST00000560737	FBtr0071522	hsa0000203357-dme0000040216|1.0;hsa0000203358-dme0000040217|0.65;hsa0000203362-dme0000040218|0.61
ENSG00000120963	FBgn0036537	ENST00000520984	FBtr0306855	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000520984	FBtr0075537	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000520984	FBtr0332134	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000311212	FBtr0306855	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000311212	FBtr0075537	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000311212	FBtr0332134	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000517844	FBtr0306855	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000517844	FBtr0075537	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000517844	FBtr0332134	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000520347	FBtr0306855	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
