hsa	ocu
ENSG00000198888	ENSOCUG00000029086
ENSG00000198763	ENSOCUG00000029090
ENSG00000198804	ENSOCUG00000029096
ENSG00000198712	ENSOCUG00000029099
ENSG00000228253	ENSOCUG00000029101
ENSG00000198899	ENSOCUG00000038200
ENSG00000198899	ENSOCUG00000032791
ENSG00000198899	ENSOCUG00000034665
ENSG00000198899	ENSOCUG00000029102
ENSG00000198938	ENSOCUG00000029103
ENSG00000198840	ENSOCUG00000029105
ENSG00000212907	ENSOCUG00000035862
ENSG00000212907	ENSOCUG00000030830
ENSG00000212907	ENSOCUG00000029107
ENSG00000212907	ENSOCUG00000025982
ENSG00000212907	ENSOCUG00000023301
ENSG00000198886	ENSOCUG00000029108
ENSG00000198786	ENSOCUG00000029112
ENSG00000198695	ENSOCUG00000029113
ENSG00000198727	ENSOCUG00000029115
ENSG00000274917	ENSOCUG00000026713
ENSG00000273730	ENSOCUG00000028147
ENSG00000277196	ENSOCUG00000009391
ENSG00000278817	ENSOCUG00000004372
ENSG00000278793	ENSOCUG00000026102
ENSG00000274202	ENSOCUG00000036126
ENSG00000274202	ENSOCUG00000037408
ENSG00000274202	ENSOCUG00000031653
ENSG00000274202	ENSOCUG00000034024
ENSG00000273748	ENSOCUG00000009038
ENSG00000276711	ENSOCUG00000036126
ENSG00000276711	ENSOCUG00000037408
ENSG00000276711	ENSOCUG00000031653
ENSG00000276711	ENSOCUG00000034024
ENSG00000276345	ENSOCUG00000038196
ENSG00000275757	ENSOCUG00000026713
ENSG00000273554	ENSOCUG00000039313
ENSG00000273554	ENSOCUG00000026260
ENSG00000277836	ENSOCUG00000026511
ENSG00000275249	ENSOCUG00000011160
ENSG00000274792	ENSOCUG00000025627
ENSG00000277927	ENSOCUG00000026102
ENSG00000198692	ENSOCUG00000010188
ENSG00000252900	ENSOCUG00000022864
ENSG00000252689	ENSOCUG00000019477
ENSG00000252689	ENSOCUG00000019662
ENSG00000252689	ENSOCUG00000025581
ENSG00000252689	ENSOCUG00000019374
ENSG00000252689	ENSOCUG00000019334
ENSG00000176679	ENSOCUG00000027741
ENSG00000154620	ENSOCUG00000012951
ENSG00000251925	ENSOCUG00000028831
ENSG00000165246	ENSOCUG00000017162
ENSG00000251796	ENSOCUG00000028831
ENSG00000252468	ENSOCUG00000039444
ENSG00000252468	ENSOCUG00000035558
ENSG00000099715	ENSOCUG00000003437
ENSG00000154646	ENSOCUG00000012062
ENSG00000154639	ENSOCUG00000003103
ENSG00000142207	ENSOCUG00000009381
ENSG00000154721	ENSOCUG00000006678
ENSG00000156282	ENSOCUG00000025369
ENSG00000188694	ENSOCUG00000033192
ENSG00000156304	ENSOCUG00000008336
ENSG00000154654	ENSOCUG00000012184
ENSG00000027001	ENSOCUG00000011782
ENSG00000156284	ENSOCUG00000008920
ENSG00000142149	ENSOCUG00000005096
ENSG00000154642	ENSOCUG00000000128
ENSG00000102753	ENSOCUG00000006781
ENSG00000159256	ENSOCUG00000026340
ENSG00000165475	ENSOCUG00000013461
ENSG00000102547	ENSOCUG00000008239
ENSG00000120675	ENSOCUG00000001696
ENSG00000132975	ENSOCUG00000016272
ENSG00000158270	ENSOCUG00000022216
ENSG00000132970	ENSOCUG00000003536
ENSG00000205929	ENSOCUG00000007160
ENSG00000133110	ENSOCUG00000011482
ENSG00000154645	ENSOCUG00000012056
ENSG00000156273	ENSOCUG00000016716
ENSG00000176105	ENSOCUG00000005874
ENSG00000157557	ENSOCUG00000005861
ENSG00000178127	ENSOCUG00000009899
ENSG00000157551	ENSOCUG00000024161
ENSG00000101489	ENSOCUG00000024790
ENSG00000205758	ENSOCUG00000003881
ENSG00000102531	ENSOCUG00000014679
ENSG00000156239	ENSOCUG00000001084
ENSG00000183722	ENSOCUG00000001137
ENSG00000023516	ENSOCUG00000016016
ENSG00000154736	ENSOCUG00000002859
ENSG00000204899	ENSOCUG00000006654
ENSG00000277739	ENSOCUG00000026713
ENSG00000120685	ENSOCUG00000004771
ENSG00000231824	ENSOCUG00000035231
ENSG00000252199	ENSOCUG00000028933
ENSG00000132874	ENSOCUG00000006749
ENSG00000207476	ENSOCUG00000026102
ENSG00000252462	ENSOCUG00000019564
ENSG00000251851	ENSOCUG00000028467
ENSG00000223078	ENSOCUG00000036828
ENSG00000223078	ENSOCUG00000039161
ENSG00000283300	ENSOCUG00000018637
ENSG00000200792	ENSOCUG00000019565
ENSG00000157617	ENSOCUG00000015510
ENSG00000017797	ENSOCUG00000010172
ENSG00000165837	ENSOCUG00000002490
ENSG00000083535	ENSOCUG00000006671
ENSG00000141380	ENSOCUG00000009081
ENSG00000173276	ENSOCUG00000003265
ENSG00000211590	ENSOCUG00000019199
ENSG00000159228	ENSOCUG00000025282
ENSG00000159228	ENSOCUG00000020989
ENSG00000159228	ENSOCUG00000027184
ENSG00000159228	ENSOCUG00000026331
ENSG00000159228	ENSOCUG00000028182
ENSG00000159228	ENSOCUG00000027409
ENSG00000136122	ENSOCUG00000006658
ENSG00000159231	ENSOCUG00000016759
ENSG00000150361	ENSOCUG00000015164
ENSG00000136155	ENSOCUG00000005947
ENSG00000252045	ENSOCUG00000022993
ENSG00000252045	ENSOCUG00000022839
ENSG00000252045	ENSOCUG00000018583
ENSG00000252045	ENSOCUG00000025247
ENSG00000159079	ENSOCUG00000000461
ENSG00000101745	ENSOCUG00000025998
ENSG00000242220	ENSOCUG00000031043
ENSG00000150893	ENSOCUG00000007735
ENSG00000154640	ENSOCUG00000014697
ENSG00000152242	ENSOCUG00000009573
ENSG00000136111	ENSOCUG00000007964
ENSG00000154839	ENSOCUG00000007927
ENSG00000155307	ENSOCUG00000015833
ENSG00000136158	ENSOCUG00000009608
ENSG00000141425	ENSOCUG00000008096
ENSG00000120686	ENSOCUG00000032647
ENSG00000102554	ENSOCUG00000011318
ENSG00000152214	ENSOCUG00000003652
ENSG00000159263	ENSOCUG00000012903
ENSG00000174015	ENSOCUG00000014037
ENSG00000212710	ENSOCUG00000004700
ENSG00000183145	ENSOCUG00000021051
ENSG00000134489	ENSOCUG00000001327
ENSG00000212136	ENSOCUG00000028803
ENSG00000160208	ENSOCUG00000025931
ENSG00000141639	ENSOCUG00000013016
ENSG00000133119	ENSOCUG00000003624
ENSG00000160209	ENSOCUG00000021608
ENSG00000141622	ENSOCUG00000011801
ENSG00000152192	ENSOCUG00000006718
ENSG00000182957	ENSOCUG00000010087
ENSG00000177511	ENSOCUG00000011662
ENSG00000176641	ENSOCUG00000017018
ENSG00000166510	ENSOCUG00000014516
ENSG00000175387	ENSOCUG00000011290
ENSG00000160214	ENSOCUG00000022843
ENSG00000099917	ENSOCUG00000025057
ENSG00000188811	ENSOCUG00000004777
ENSG00000065150	ENSOCUG00000003898
ENSG00000041353	ENSOCUG00000022858
ENSG00000091164	ENSOCUG00000002505
ENSG00000199598	ENSOCUG00000026407
ENSG00000199598	ENSOCUG00000019915
ENSG00000252606	ENSOCUG00000020588
ENSG00000160218	ENSOCUG00000009265
ENSG00000134030	ENSOCUG00000024842
ENSG00000141441	ENSOCUG00000013761
ENSG00000099985	ENSOCUG00000010199
ENSG00000184828	ENSOCUG00000022348
ENSG00000139734	ENSOCUG00000001719
ENSG00000100365	ENSOCUG00000021337
ENSG00000157540	ENSOCUG00000005814
ENSG00000228075	ENSOCUG00000014283
ENSG00000141665	ENSOCUG00000011641
ENSG00000081138	ENSOCUG00000015600
ENSG00000118946	ENSOCUG00000005237
ENSG00000180440	ENSOCUG00000012125
ENSG00000139514	ENSOCUG00000013493
ENSG00000134779	ENSOCUG00000000709
ENSG00000088386	ENSOCUG00000012014
ENSG00000175329	ENSOCUG00000017205
ENSG00000176177	ENSOCUG00000012263
ENSG00000128342	ENSOCUG00000003768
ENSG00000100307	ENSOCUG00000022911
ENSG00000100344	ENSOCUG00000017273
ENSG00000136152	ENSOCUG00000002476
ENSG00000166603	ENSOCUG00000025457
ENSG00000166479	ENSOCUG00000039530
ENSG00000166479	ENSOCUG00000005000
ENSG00000186976	ENSOCUG00000038561
ENSG00000171873	ENSOCUG00000008029
ENSG00000101282	ENSOCUG00000026121
ENSG00000136141	ENSOCUG00000009947
ENSG00000125903	ENSOCUG00000010202
ENSG00000101280	ENSOCUG00000025012
ENSG00000171984	ENSOCUG00000009313
ENSG00000101542	ENSOCUG00000014561
ENSG00000149346	ENSOCUG00000002878
ENSG00000160199	ENSOCUG00000017650
ENSG00000054611	ENSOCUG00000037385
ENSG00000178591	ENSOCUG00000038032
ENSG00000125845	ENSOCUG00000011674
ENSG00000102543	ENSOCUG00000014743
