hsa	rno
ENSG00000000005	ENSRNOG00000060970
ENSG00000000460	ENSRNOG00000059276
ENSG00000000938	ENSRNOG00000009912
ENSG00000001036	ENSRNOG00000015551
ENSG00000001084	ENSRNOG00000006302
ENSG00000001460	ENSRNOG00000031448
ENSG00000001630	ENSRNOG00000007234
ENSG00000002330	ENSRNOG00000021147
ENSG00000002549	ENSRNOG00000003289
ENSG00000002834	ENSRNOG00000004132
ENSG00000002933	ENSRNOG00000023708
ENSG00000003056	ENSRNOG00000014992
ENSG00000003137	ENSRNOG00000015076
ENSG00000003393	ENSRNOG00000023280
ENSG00000003436	ENSRNOG00000005039
ENSG00000003756	ENSRNOG00000018153
ENSG00000003989	ENSRNOG00000011016
ENSG00000004139	ENSRNOG00000010244
ENSG00000004468	ENSRNOG00000003069
ENSG00000004478	ENSRNOG00000006444
ENSG00000004700	ENSRNOG00000012602
ENSG00000004766	ENSRNOG00000009894
ENSG00000004776	ENSRNOG00000020922
ENSG00000004838	ENSRNOG00000021602
ENSG00000004848	ENSRNOG00000053562
ENSG00000004866	ENSRNOG00000056243
ENSG00000005020	ENSRNOG00000012228
ENSG00000005022	ENSRNOG00000039980
ENSG00000005187	ENSRNOG00000032246
ENSG00000005189	ENSRNOG00000014513
ENSG00000005194	ENSRNOG00000016234
ENSG00000005238	ENSRNOG00000009323
ENSG00000005249	ENSRNOG00000009079
ENSG00000005421	ENSRNOG00000008902
ENSG00000005893	ENSRNOG00000000164
ENSG00000006042	ENSRNOG00000021316
ENSG00000006071	ENSRNOG00000021130
ENSG00000006116	ENSRNOG00000012362
ENSG00000006125	ENSRNOG00000061543
ENSG00000006128	ENSRNOG00000078101
ENSG00000006451	ENSRNOG00000013454
ENSG00000006534	ENSRNOG00000017512
ENSG00000006638	ENSRNOG00000020585
ENSG00000006712	ENSRNOG00000019746
ENSG00000006740	ENSRNOG00000003603
ENSG00000006837	ENSRNOG00000059485
ENSG00000007168	ENSRNOG00000002755
ENSG00000007216	ENSRNOG00000010337
ENSG00000007264	ENSRNOG00000020431
ENSG00000007372	ENSRNOG00000004410
ENSG00000007384	ENSRNOG00000020594
ENSG00000007944	ENSRNOG00000017579
ENSG00000008056	ENSRNOG00000010365
ENSG00000008118	ENSRNOG00000006470
ENSG00000008300	ENSRNOG00000053889
ENSG00000008394	ENSRNOG00000007743
ENSG00000008405	ENSRNOG00000006622
ENSG00000008735	ENSRNOG00000032828
ENSG00000008838	ENSRNOG00000008711
ENSG00000008988	ENSRNOG00000008555
ENSG00000009307	ENSRNOG00000061058
ENSG00000009765	ENSRNOG00000016286
