Gene stable ID	UniProtKB/Swiss-Prot ID
ENSG00000225528	A0A024R1R8
ENSG00000187164	A0MZ66
ENSG00000187164	A0MZ66
ENSG00000187164	A0MZ66
ENSG00000187164	A0MZ66
ENSG00000187164	A0MZ66
ENSG00000101342	A0PJX2
ENSG00000101342	A0PJX2
ENSG00000162669	A2PYH4
ENSG00000105793	A4D1E9
ENSG00000105793	A4D1E9
ENSG00000105793	A4D1E9
ENSG00000262599	A4D1U4
ENSG00000257093	A4D1U4
ENSG00000125107	A5YKK6
ENSG00000125107	A5YKK6
ENSG00000125107	A5YKK6
ENSG00000125107	A5YKK6
ENSG00000184207	A6NDG6
ENSG00000157999	A6NGH8
ENSG00000166676	A6NH52
ENSG00000166676	A6NH52
ENSG00000166676	A6NH52
ENSG00000175536	A6NK58
ENSG00000205609	B5ME19
ENSG00000205609	B5ME19
ENSG00000117262	B7ZAQ6
ENSG00000117262	B7ZAQ6
ENSG00000117262	B7ZAQ6
ENSG00000117262	B7ZAQ6
ENSG00000117262	B7ZAQ6
ENSG00000142347	O00160
ENSG00000092531	O00161
ENSG00000092531	O00161
ENSG00000092531	O00161
ENSG00000132842	O00203
ENSG00000132842	O00203
ENSG00000108671	O00231
ENSG00000108671	O00231
ENSG00000108671	O00231
ENSG00000197170	O00232
ENSG00000197170	O00232
ENSG00000110801	O00233
ENSG00000110801	O00233
ENSG00000110801	O00233
ENSG00000177556	O00244
ENSG00000177556	O00244
ENSG00000177556	O00244
ENSG00000101856	O00264
ENSG00000101856	O00264
ENSG00000196235	O00267
ENSG00000196235	O00267
ENSG00000196235	O00267
ENSG00000196235	O00267
ENSG00000196235	O00267
ENSG00000097046	O00311
ENSG00000097046	O00311
ENSG00000169359	O00400
ENSG00000169359	O00400
ENSG00000065150	O00410
ENSG00000065150	O00410
ENSG00000065150	O00410
ENSG00000065150	O00410
ENSG00000087470	O00429
ENSG00000087470	O00429
ENSG00000087470	O00429
ENSG00000087470	O00429
ENSG00000087470	O00429
ENSG00000087470	O00429
ENSG00000087470	O00429
ENSG00000070367	O00471
ENSG00000115233	O00487
ENSG00000142684	O00488
ENSG00000102753	O00505
ENSG00000115694	O00506
ENSG00000115694	O00506
ENSG00000115694	O00506
ENSG00000115694	O00506
ENSG00000115694	O00506
ENSG00000115694	O00506
ENSG00000115694	O00506
ENSG00000117480	O00519
ENSG00000100029	O00541
ENSG00000100029	O00541
ENSG00000124383	O00566
ENSG00000101361	O00567
ENSG00000108733	O00623
ENSG00000112357	O00628
ENSG00000112357	O00628
ENSG00000119414	O00743
ENSG00000119414	O00743
ENSG00000119414	O00743
ENSG00000175063	O00762
ENSG00000175063	O00762
ENSG00000175063	O00762
ENSG00000175063	O00762
ENSG00000076555	O00763
ENSG00000076555	O00763
ENSG00000160209	O00764
ENSG00000160209	O00764
ENSG00000099194	O00767
ENSG00000115514	O14530
ENSG00000115514	O14530
ENSG00000004779	O14561
ENSG00000004779	O14561
ENSG00000198692	O14602
ENSG00000065000	O14617
ENSG00000065000	O14617
ENSG00000153922	O14646
ENSG00000124222	O14662
ENSG00000124222	O14662
ENSG00000124222	O14662
ENSG00000124222	O14662
ENSG00000124222	O14662
ENSG00000124222	O14662
ENSG00000101473	O14734
ENSG00000103502	O14735
ENSG00000103502	O14735
ENSG00000103502	O14735
ENSG00000103502	O14735
ENSG00000105185	O14737
ENSG00000105185	O14737
ENSG00000100462	O14744
ENSG00000100462	O14744
ENSG00000100462	O14744
ENSG00000100462	O14744
ENSG00000100462	O14744
ENSG00000164362	O14746
ENSG00000164362	O14746
ENSG00000164362	O14746
ENSG00000149554	O14757
ENSG00000149554	O14757
ENSG00000149554	O14757
ENSG00000149554	O14757
ENSG00000149554	O14757
ENSG00000149554	O14757
ENSG00000149554	O14757
ENSG00000069966	O14775
ENSG00000069966	O14775
ENSG00000069966	O14775
ENSG00000080986	O14777
ENSG00000105576	O14787
ENSG00000105576	O14787
ENSG00000105576	O14787
ENSG00000105576	O14787
ENSG00000105576	O14787
ENSG00000148606	O14802
ENSG00000101182	O14818
ENSG00000101182	O14818
ENSG00000101182	O14818
ENSG00000178814	O14841
ENSG00000103507	O14874
ENSG00000103507	O14874
ENSG00000103507	O14874
ENSG00000103507	O14874
ENSG00000265354	O14925
ENSG00000128708	O14929
ENSG00000105967	O14948
ENSG00000105967	O14948
ENSG00000105967	O14948
ENSG00000105967	O14948
ENSG00000140284	O14975
ENSG00000140284	O14975
ENSG00000082898	O14980
ENSG00000082898	O14980
ENSG00000082898	O14980
ENSG00000082898	O14980
ENSG00000082898	O14980
ENSG00000082898	O14980
ENSG00000082898	O14980
ENSG00000082898	O14980
ENSG00000082898	O14980
