hsa	ath
ENSG00000000419	AT1G20575
ENSG00000001630	AT1G11680
ENSG00000004455	AT5G63400
ENSG00000004779	AT5G27200
ENSG00000004897	AT2G20000
ENSG00000004939	AT5G25430
ENSG00000005007	AT5G47010
ENSG00000005075	AT3G52090
ENSG00000005194	AT5G18400
ENSG00000006695	AT2G44520
ENSG00000006715	AT1G08190
ENSG00000006744	AT1G52160
ENSG00000008018	AT3G60820
ENSG00000008130	AT3G21070
ENSG00000008988	AT3G45030
ENSG00000009413	AT1G67500
ENSG00000009844	AT4G26750
ENSG00000010292	AT3G57060
ENSG00000011260	AT5G14050
ENSG00000011376	AT4G04350
ENSG00000011485	AT2G42810
ENSG00000013306	AT4G27940
ENSG00000013375	AT5G18070
ENSG00000013503	AT5G45140
ENSG00000014919	AT5G56090
ENSG00000020922	AT5G54260
ENSG00000023572	AT5G40370
ENSG00000025796	AT4G21180
ENSG00000027001	AT5G51540
ENSG00000028528	AT5G06140
ENSG00000031698	AT5G27470
ENSG00000033011	AT1G16570
ENSG00000033050	AT5G60790
ENSG00000033627	AT2G21410
ENSG00000033627	AT4G39080
ENSG00000034693	AT3G18160
ENSG00000035928	AT5G22010
ENSG00000036257	AT1G26830
ENSG00000036473	AT1G75330
ENSG00000037241	AT3G49910
ENSG00000037757	AT2G05830
ENSG00000037897	AT5G24840
ENSG00000038210	AT5G24240
ENSG00000039123	AT1G59760
ENSG00000040531	AT5G40670
ENSG00000041357	AT3G22110
ENSG00000041802	AT2G27200
ENSG00000042088	AT5G15170
ENSG00000042753	AT1G47830
ENSG00000043514	AT2G27760
ENSG00000044574	AT5G42020
ENSG00000047315	AT4G21710
ENSG00000047410	AT1G79280
ENSG00000049541	AT1G63160
ENSG00000051180	AT5G20850
ENSG00000051596	AT5G56130
ENSG00000052802	AT1G07420
ENSG00000052802	AT2G29390
ENSG00000054796	AT5G02820
ENSG00000055044	AT3G05060
ENSG00000057468	AT4G17380
ENSG00000057608	AT5G09550
ENSG00000057663	AT5G17290
ENSG00000059573	AT3G55610
ENSG00000059691	AT1G48520
ENSG00000060762	AT5G20090
ENSG00000060971	AT1G04710
ENSG00000060982	AT5G65780
ENSG00000062485	AT2G44350
ENSG00000062822	AT5G63960
ENSG00000063176	AT4G21534
ENSG00000063176	AT4G21540
ENSG00000063177	AT3G05590
ENSG00000063761	AT2G40090
ENSG00000063854	AT3G10850
ENSG00000064313	AT1G73960
ENSG00000064419	AT5G62600
ENSG00000064601	AT4G12910
ENSG00000065000	AT1G48760
ENSG00000065057	AT2G31450
ENSG00000065154	AT5G46180
ENSG00000065268	AT3G49180
ENSG00000065427	AT3G11710
ENSG00000065548	AT2G20280
ENSG00000065833	AT1G79750
ENSG00000065833	AT5G11670
ENSG00000065833	AT5G25880
ENSG00000066117	AT5G14170
ENSG00000066926	AT2G30390
ENSG00000067048	AT2G42520
ENSG00000067048	AT3G58510
ENSG00000067048	AT3G58570
ENSG00000067064	AT5G16440
ENSG00000067248	AT1G58060
ENSG00000067596	AT3G26560
ENSG00000067704	AT5G49030
ENSG00000068366	AT1G77590
ENSG00000068366	AT2G04350
ENSG00000068654	AT3G57660
ENSG00000068878	AT3G13330
ENSG00000069329	AT2G17790
ENSG00000069345	AT3G44110
ENSG00000069345	AT5G22060
ENSG00000069943	AT5G14850
ENSG00000069966	AT4G34460
ENSG00000070061	AT5G13680
ENSG00000070367	AT5G12370
ENSG00000070669	AT5G65010
ENSG00000070882	AT4G08180
ENSG00000070961	AT3G57330
ENSG00000070961	AT5G57110
ENSG00000071082	AT4G26230
ENSG00000071127	AT3G18060
ENSG00000071243	AT3G24010
ENSG00000071462	AT5G57280
ENSG00000071539	AT4G24710
ENSG00000071794	AT5G05130
ENSG00000072501	AT3G54670
ENSG00000072849	AT4G04860
ENSG00000072958	AT1G60780
ENSG00000073111	AT1G44900
ENSG00000073536	AT5G52820
ENSG00000073578	AT5G66760
ENSG00000073921	AT1G05020
ENSG00000074319	AT3G12400
ENSG00000074582	AT3G50940
ENSG00000075089	AT3G33520
ENSG00000075239	AT5G48230
ENSG00000075336	AT4G00026
ENSG00000075415	AT5G14040
ENSG00000075624	AT3G12110
ENSG00000075785	AT3G18820
ENSG00000076003	AT5G44635
ENSG00000076043	AT2G26970
ENSG00000076242	AT4G09140
ENSG00000076248	AT3G18630
ENSG00000077348	AT3G46210
ENSG00000077549	AT1G71790
ENSG00000077721	AT1G14400
ENSG00000078124	AT4G22330
ENSG00000078140	AT5G50870
ENSG00000078142	AT1G60490
ENSG00000078967	AT1G64230
ENSG00000078967	AT4G27960
ENSG00000079739	AT1G70730
ENSG00000079950	AT5G16830
ENSG00000080189	AT1G06470
ENSG00000080503	AT3G06010
ENSG00000080608	AT3G16810
ENSG00000080819	AT1G03475
ENSG00000080986	AT3G54630
ENSG00000082701	AT5G14640
ENSG00000082898	AT3G03110
ENSG00000083520	AT2G17510
ENSG00000083845	AT2G37270
ENSG00000084073	AT4G01320
ENSG00000085231	AT5G60340
ENSG00000085415	AT1G64350
ENSG00000085563	AT1G02520
ENSG00000085563	AT2G47000
ENSG00000085662	AT2G37770
ENSG00000085662	AT2G37790
ENSG00000085999	AT3G19210
ENSG00000086102	AT1G10170
ENSG00000086189	AT2G47420
ENSG00000086598	AT3G22845
ENSG00000086619	AT1G72280
ENSG00000086758	AT1G55860
ENSG00000086758	AT1G70320
ENSG00000086848	AT1G16900
ENSG00000087191	AT5G19990
ENSG00000087470	AT2G14120
ENSG00000088035	AT5G38460
ENSG00000088205	AT3G18600
ENSG00000088766	AT4G04870
ENSG00000088832	AT5G64350
ENSG00000088833	AT4G04210
ENSG00000088930	AT1G75660
ENSG00000089009	AT1G74050
ENSG00000089060	AT5G17860
ENSG00000089154	AT1G64790
ENSG00000089157	AT3G11250
