hsa	ocu
hsa0000000041	ocu0000070700
hsa0000000044	ocu0000070703
hsa0000000045	ocu0000070703
hsa0000000079	ocu0000061941
hsa0000000080	ocu0000061941
hsa0000000081	ocu0000061942
hsa0000000164	ocu0000202814
hsa0000000196	ocu0000167912
hsa0000000198	ocu0000167914
hsa0000000200	ocu0000167916
hsa0000000201	ocu0000167917
hsa0000000202	ocu0000167918
hsa0000000204	ocu0000167920
hsa0000000205	ocu0000167921
hsa0000000210	ocu0000167926
hsa0000000211	ocu0000167927
hsa0000000212	ocu0000167928
hsa0000000213	ocu0000167929
hsa0000000215	ocu0000167930
hsa0000000216	ocu0000167932
hsa0000000220	ocu0000167936
hsa0000000221	ocu0000167937
hsa0000000224	ocu0000167940
hsa0000000226	ocu0000167942
hsa0000000227	ocu0000167943
hsa0000000228	ocu0000167944
hsa0000000230	ocu0000167946
hsa0000000236	ocu0000167952
hsa0000000237	ocu0000167953
hsa0000000238	ocu0000167953
hsa0000000239	ocu0000167954
hsa0000000241	ocu0000167956
hsa0000000244	ocu0000167959
hsa0000000245	ocu0000167960
hsa0000000247	ocu0000167962
hsa0000000249	ocu0000167963
hsa0000000250	ocu0000167964
hsa0000000251	ocu0000167965
hsa0000000256	ocu0000167970
hsa0000000257	ocu0000167970
hsa0000000259	ocu0000167972
hsa0000000260	ocu0000167973
hsa0000000264	ocu0000167975
hsa0000000269	ocu0000167979
hsa0000000282	ocu0000062173
hsa0000000285	ocu0000068165
hsa0000000290	ocu0000068170
hsa0000000296	ocu0000068175
hsa0000000297	ocu0000068176
hsa0000000300	ocu0000068180
hsa0000000306	ocu0000197212
hsa0000000323	ocu0000193786
hsa0000000330	ocu0000193792
hsa0000000342	ocu0000074097
hsa0000000346	ocu0000074099
hsa0000000352	ocu0000074103
hsa0000000354	ocu0000074105
hsa0000000355	ocu0000074106
hsa0000000356	ocu0000074107
hsa0000000357	ocu0000074108
hsa0000000358	ocu0000074109
hsa0000000360	ocu0000067870
hsa0000000362	ocu0000067871
hsa0000000363	ocu0000067872
hsa0000000364	ocu0000067873
