hsa	rno
hsa0000000038	rno0000079436
hsa0000000042	rno0000079443
hsa0000000047	rno0000079447
hsa0000000048	rno0000079448
hsa0000000083	rno0000082007
hsa0000000338	rno0000083728
hsa0000000339	rno0000083729
hsa0000000362	rno0000077680
hsa0000000363	rno0000077681
hsa0000000364	rno0000077682
hsa0000000365	rno0000077683
hsa0000000367	rno0000077684
hsa0000000368	rno0000077685
hsa0000000369	rno0000077686
hsa0000000370	rno0000077687
hsa0000000371	rno0000077688
hsa0000000372	rno0000077689
hsa0000000375	rno0000079024
hsa0000000384	rno0000079031
hsa0000000388	rno0000082447
hsa0000000390	rno0000082449
hsa0000000399	rno0000088167
hsa0000000409	rno0000083064
hsa0000000411	rno0000083065
hsa0000000413	rno0000083067
hsa0000000414	rno0000083068
hsa0000000415	rno0000083069
hsa0000000416	rno0000083070
hsa0000000418	rno0000083072
hsa0000000419	rno0000083073
hsa0000000505	rno0000087707
hsa0000000551	rno0000089070
hsa0000000552	rno0000089071
hsa0000000553	rno0000089072
hsa0000000599	rno0000087116
hsa0000000600	rno0000087117
hsa0000000602	rno0000087119
hsa0000000763	rno0000088148
hsa0000000815	rno0000089375
hsa0000000819	rno0000080476
hsa0000000822	rno0000080479
hsa0000000823	rno0000080480
hsa0000000877	rno0000083749
hsa0000000877	rno0000083750
hsa0000000925	rno0000089076
hsa0000000926	rno0000089077
hsa0000001050	rno0000082360
hsa0000001114	rno0000083852
hsa0000001115	rno0000083853
hsa0000001125	rno0000083948
hsa0000001126	rno0000083949
hsa0000001148	rno0000040841
hsa0000001149	rno0000040842
hsa0000001285	rno0000034692
hsa0000001286	rno0000034692
hsa0000001335	rno0000084103
hsa0000001340	rno0000084107
hsa0000001344	rno0000084110
hsa0000001357	rno0000040077
hsa0000001463	rno0000032080
hsa0000001464	rno0000032081
hsa0000001467	rno0000032083
hsa0000001469	rno0000032085
hsa0000001600	rno0000041447
hsa0000001606	rno0000041454
hsa0000001610	rno0000041457
hsa0000001611	rno0000041458
hsa0000001614	rno0000041461
hsa0000001616	rno0000041463
hsa0000001701	rno0000034548
hsa0000001702	rno0000034549
hsa0000001705	rno0000034551
hsa0000001706	rno0000034552
hsa0000001711	rno0000174794
hsa0000001712	rno0000174795
hsa0000001770	rno0000174653
hsa0000001770	rno0000174652
hsa0000001772	rno0000030939
hsa0000001773	rno0000032500
hsa0000001775	rno0000032504
hsa0000001776	rno0000032505
hsa0000001787	rno0000032516
hsa0000001792	rno0000032521
hsa0000001798	rno0000082184
hsa0000001801	rno0000082187
hsa0000001803	rno0000082189
hsa0000001818	rno0000038867
hsa0000001820	rno0000038869
hsa0000001821	rno0000038870
hsa0000001829	rno0000174941
hsa0000001831	rno0000174943
hsa0000001832	rno0000174944
hsa0000001841	rno0000174952
hsa0000001843	rno0000029807
hsa0000001844	rno0000029808
hsa0000001848	rno0000029812
hsa0000001849	rno0000029813
hsa0000001850	rno0000029814
hsa0000001852	rno0000029815
hsa0000001853	rno0000029816
hsa0000001854	rno0000029817
hsa0000001855	rno0000029818
hsa0000001856	rno0000029819
hsa0000001858	rno0000029820
hsa0000001892	rno0000041599
hsa0000001893	rno0000041600
hsa0000001971	rno0000034059
hsa0000001972	rno0000034060
hsa0000001974	rno0000034062
hsa0000001976	rno0000034064
hsa0000001977	rno0000034065
hsa0000001978	rno0000034066
hsa0000001979	rno0000034067
hsa0000001980	rno0000034068
hsa0000001981	rno0000034069
hsa0000001984	rno0000030540
hsa0000001988	rno0000030543
hsa0000001992	rno0000030546
hsa0000001993	rno0000030546
hsa0000002014	rno0000031239
hsa0000002015	rno0000031241
hsa0000002016	rno0000031243
