human_uniprot	cattle_uniprot
Q9UPN3	F1N6H4
Q8WXG9	F1N0A6
Q8WXH0	F1MF78
Q96RW7	E1BE11
Q5T4S7	E1BHT5
Q9NU22	E1BC24
Q92736	E1BHV1
O95714	E1B782
Q6V0I7	E1B949
Q9NR09	E1BE13
P21817	A0A3Q1MUQ4
Q14204	A0A3Q1NEU9
O75445	E1BP05
O75592	E1BH40
Q2LD37	A0A3Q1M9E6
A2VEC9	F1MLA7
Q5CZC0	F1MB15
Q9NZJ4	A0A3Q1M820
Q96JB1	E1B9R5
Q8TE73	E1BMG2
Q8TDW7	F1MC84
O14686	A0A3Q1N7T9
Q5THJ4	E1BIF6
Q9UFH2	A0A3Q1M7H2
Q9P225	F1MK55
Q8NDA2	E1B9K4
Q14517	A0A3Q1LJZ4
Q8IVF4	A0A3Q1LNB4
Q7Z6Z7	E1BNY9
Q96DT5	F1N724
Q9NYC9	F1MJJ0
Q9Y4D8	A0A3Q1MH11
Q9Y6V0	A0A3Q1M9D0
P98160	F1MER7
Q9NYQ8	F1MPF3
Q86WI1	A0A3Q1MGJ7
Q9C0G6	A0A3Q1LW75
Q8WXX0	F1N5R7
Q8NEZ4	F1MYZ3
Q9Y4A5	E1BKJ5
Q7Z7G8	A0A3Q1LTX8
P20929	A0A3Q1MC60
Q7Z407	A0A3Q1LWF2
Q96Q15	F1MBL6
P78509	F1MUS6
Q63HN8	A0A3Q1LV49
Q70CQ2	A0A3Q1MDV7
Q7Z408	F1N3H5
Q99698	F1MLZ4
Q8IZQ1	E1BPS3
Q07954	E1BGJ0
Q9NZR2	A0A3Q1MEB6
Q86XX4	F1N740
Q96PZ7	A0A3Q1LNJ1
Q03164	F1MHA1
P78527	E1BLB6
Q86UQ4	E1BK38
Q9H251	F1MXP9
P04114	E1BNR0
P08F94	E1BK86
Q709C8	E1BPX1
Q8N2C7	F1MJ95
P46939	F1MRT9
Q15911	E1BPV9
Q96JQ0	E1B969
Q86UP3	F1MPW8
O60494	F1MKV7
Q9NYQ7	F1MHH5
Q9UPA5	A0A3Q1LTH1
Q5TBA9	F1MYQ7
O94915	E1BKE1
Q5SZK8	F1MFH3
Q15772	G3N022
Q96T58	E1BNF6
Q9Y485	A0A3Q1NC20
O75962	F1MLS2
Q8TDJ6	A0A3Q1MAZ9
Q8NFP9	A0A3Q1MIS5
O60673	E1BPY8
Q8TD57	F1MRU4
Q7Z7M0	A0A3Q1MFV7
Q9P2D7	G3N1C8
Q4LDE5	F1MNH3
Q13315	E1BEI6
Q9HCU4	E1BJ11
Q14315	A0A3Q1LV98
Q6ZS81	F1MG90
O43149	E1BNA9
O95071	F1N0L2
Q6ZR08	A0A3Q1M7D1
Q14643	F1MX21
P42858	E1B8E7
Q14571	A0A3Q1N7P8
Q3L8U1	E1BDZ3
P21333	F1N169
Q6V1P9	F1MQP6
Q16787	F1MDD5
Q99715	F1N401
Q9ULT8	E1BLD1
O75369	E1BKX7
P22105	F1MPK6
Q9NR48	E1BGA4
Q14573	E1BKE7
Q6N022	A0A3Q1M6L9
Q9UKZ4	G5E5W9
Q5VT06	E1BC48
P50851	A0A3Q1M9P3
P49792	A0A3Q1LLS4
Q9UPU5	E1BND0
Q6ZS30	G3N3Y1
Q93008	G5E630
Q6ZRI0	E1B8Y4
P25054	A0A3Q1LMC7
P42345	E1BFB4
Q96L73	E1BM66
Q15149	A0A3Q1MRS3
P04275	F1N0R5
Q6KC79	E1BKC4
Q13535	A0A3Q1M8V1
Q99996	A0A3Q1LPA7
O75691	E1BGE2
Q9P2D1	E1BPM4
Q92616	A0A3Q1N191
Q9NYQ6	F1N6Y9
Q6P2Q9	A7Z025
Q8N3K9	F1ME62
P98164	F1N6H1
Q13813	A0A3Q1LNC8
Q9NT68	A0A3Q1MD97
