Gene stable ID	UniProtKB/TrEMBL ID	UniProtKB/Swiss-Prot ID
ENSBTAG00000043558	Q6QTH1	
ENSBTAG00000043571	Q6QTH0	
ENSBTAG00000043561	Q6QTG9	
ENSBTAG00000043556	Q7JAT3	P68530
ENSBTAG00000043564	Q7JAT2	P03929
ENSBTAG00000043584	Q7JAT1	P00847
ENSBTAG00000043560	Q6QTG5	
ENSBTAG00000043568	Q7JAS9	P03898
ENSBTAG00000043559	Q7JAS8	P03902
ENSBTAG00000043577	Q7JAS7	P03910
ENSBTAG00000043563	Q85BD6	
ENSBTAG00000043546	Q7JAS5	P03924
ENSBTAG00000043550	Q7JAR2	P00157
ENSBTAG00000002138	A0AAA9TZS5	
ENSBTAG00000002138	A0AAA9S4I8	
ENSBTAG00000002138	A6QLC1	
ENSBTAG00000003403	F1N048	
ENSBTAG00000003403	A0AAA9SRB9	
ENSBTAG00000003403		
ENSBTAG00000008314	A0A452DI87	
ENSBTAG00000008314	A0A3Q1LZ07	
ENSBTAG00000008314		
ENSBTAG00000008309	A0AAA9RWU1	
ENSBTAG00000008309	A0AAA9SIQ9	
ENSBTAG00000008309	F1MF00	
ENSBTAG00000008309	A0AAA9U070	
ENSBTAG00000003832	A0A3Q1MAS0	
ENSBTAG00000003832	A0A3Q1LQL8	
ENSBTAG00000003832		
ENSBTAG00000003832	F1MWK6	
ENSBTAG00000003822	A0A3Q1MMT7	
ENSBTAG00000003822	A0A3Q1NCR3	
ENSBTAG00000003822	E1BBS9	
ENSBTAG00000003822	A0A3Q1MTR1	
ENSBTAG00000013282	A0A3Q1LK58	
ENSBTAG00000013282	A0A452DJD5	
ENSBTAG00000013282	A0AAA9SU10	
ENSBTAG00000013281	A0A3Q1LMZ1	
ENSBTAG00000009251	A0AAF6YTE1	
ENSBTAG00000009251	A0AAA9S7M3	
ENSBTAG00000009251		
ENSBTAG00000009251		
ENSBTAG00000009251		
ENSBTAG00000009251	A0AAF6ZDD7	
ENSBTAG00000009251	A0AAA9SUM5	
ENSBTAG00000009251	A0AAA9SMI5	
ENSBTAG00000008510	E1BIU5	
ENSBTAG00000014221	A0AAA9U0H5	
ENSBTAG00000014221	A0A3Q1LNI2	
ENSBTAG00000014221	E1BM53	
ENSBTAG00000005670	A0AAA9S5P5	
ENSBTAG00000005670	E1BQ24	
ENSBTAG00000000815	E1BJ31	
ENSBTAG00000000815	A0A3Q1LPW3	
ENSBTAG00000034680	G5E605	
ENSBTAG00000034674	A0A3Q1M042	
ENSBTAG00000034674	E1B792	
ENSBTAG00000055045	A0AAA9SD26	
ENSBTAG00000055045	A0A3Q1LP42	
ENSBTAG00000008579	A6QL85	
ENSBTAG00000008579	A0AAA9TI70	
ENSBTAG00000038945	F1N404	
ENSBTAG00000038945	A0AAA9TGP5	
ENSBTAG00000010938	G5E5E0	
ENSBTAG00000012052	A0AAA9S6T1	
ENSBTAG00000012052	E1BCN3	
ENSBTAG00000012043	A0AAA9SFS3	
ENSBTAG00000012043	A0AAA9SRH1	
ENSBTAG00000012043	E1BD46	
ENSBTAG00000048513	A0A3Q1LTA9	
ENSBTAG00000071769		
ENSBTAG00000076111	D0PWG1	
ENSBTAG00000012798	F1MDM5	
ENSBTAG00000013806		F1MMV1
ENSBTAG00000046385	A0AAF6ZRG9	
ENSBTAG00000046385		
ENSBTAG00000046385		Q0IIG7
ENSBTAG00000004061	F1MDF9	
ENSBTAG00000000746	A0A3Q1LPN7	
ENSBTAG00000000746	A0A3Q1MLT2	
ENSBTAG00000000746	A0A3Q1NDK4	
ENSBTAG00000000752	F1MR95	
ENSBTAG00000021158	A7MB41	
ENSBTAG00000053325	A0AAA9TM82	
ENSBTAG00000049158	A0A3Q1MB87	
ENSBTAG00000049158	A0AAA9RSU0	
ENSBTAG00000049158	A0AAA9SV45	
ENSBTAG00000049158	A0A3Q1LYB0	
ENSBTAG00000049158	A0AAA9S2B6	
ENSBTAG00000004538	E1BNW2	
ENSBTAG00000004538	A0A3Q1MPX3	
ENSBTAG00000037965	E1BBS4	
ENSBTAG00000051758	A0AAA9TBH5	
ENSBTAG00000051758	E1BG58	
ENSBTAG00000012867	E1BGS4	
ENSBTAG00000002896	A0AAA9RTI2	
ENSBTAG00000002896	G5E536	Q0V7M0
ENSBTAG00000072601		
ENSBTAG00000016954	A0AAA9SF83	
ENSBTAG00000016954		Q17QW2
ENSBTAG00000012497	Q29RQ2	
ENSBTAG00000012497	A0AAA9RXN3	
ENSBTAG00000049541		P10950
ENSBTAG00000049541	A0AAA9SY42	
ENSBTAG00000049601	A0A3Q1LQT5	
ENSBTAG00000074503		
ENSBTAG00000019314	A0A3Q1MMX0	
ENSBTAG00000019314	A0AAA9S5V1	
ENSBTAG00000019314	A0A3Q1LHR5	
ENSBTAG00000019314	F1MP13	
ENSBTAG00000019314	A0AAA9SXF0	
ENSBTAG00000047293	G3MXN4	
ENSBTAG00000047293	G3MXN4	
ENSBTAG00000047293	G3MXN4	
ENSBTAG00000047293	G3MXN4	
ENSBTAG00000047293	G3MXN4	
ENSBTAG00000047293	G3MXN4	
ENSBTAG00000047293	G3MXN4	
ENSBTAG00000047293	G3MXN4	
ENSBTAG00000047293	G3MXN4	
ENSBTAG00000047293	G3MXN4	
ENSBTAG00000009851	F1N739	
ENSBTAG00000009851	A0AAA9SYD9	
ENSBTAG00000009851	A0AAA9T3N6	
ENSBTAG00000009851	F1N279	
ENSBTAG00000036262	A0A3Q1MPG8	
ENSBTAG00000036262	F1MZP0	
ENSBTAG00000002623	A0AAA9SI97	
ENSBTAG00000002623	Q3ZBW8	
ENSBTAG00000002623	A0AAA9SN75	
ENSBTAG00000073338		Q2TBX4
ENSBTAG00000035064	A0AAF6ZHK6	
ENSBTAG00000035064	A0A3Q1MM93	
ENSBTAG00000034905	F1MP63	
ENSBTAG00000061729	A0A3Q1M2I0	
ENSBTAG00000061729	A0AAA9RYZ5	
ENSBTAG00000061729	A0AAA9T1D7	
ENSBTAG00000024431	A0AAA9SMM4	
ENSBTAG00000024431	E1BPU3	
ENSBTAG00000024431	A0AAA9TLU2	
ENSBTAG00000024431	A0A3Q1NJH1	
ENSBTAG00000024431	A0AAA9S682	
ENSBTAG00000024431	A0AAA9SJP9	
ENSBTAG00000018363	A0AAA9ST68	
ENSBTAG00000018363		A6QPE1
ENSBTAG00000003810	A0A3S5ZP80	
ENSBTAG00000050705	A0AAA9TRQ1	
ENSBTAG00000050705	A0A3Q1MHG4	
ENSBTAG00000008155	A0AAA9U0Z1	
ENSBTAG00000008155	F1MH03	
ENSBTAG00000057170	A0AAA9U1Q9	
ENSBTAG00000044023	A0A3Q1MFJ6	
ENSBTAG00000044023	E1BC36	
ENSBTAG00000003531	E1BK38	
ENSBTAG00000003531	E1BM08	
ENSBTAG00000048664	A0AAA9TZK0	
ENSBTAG00000048664	A0AAA9TDL2	
ENSBTAG00000048664	A0A3Q1M0U2	
ENSBTAG00000048664	A0A3Q1LPH0	
ENSBTAG00000048664	A0AAA9TW85	
ENSBTAG00000048664	A0AAA9TM42	
ENSBTAG00000048664	A0A3Q1NA94	
ENSBTAG00000048664	A0AAA9SX77	
ENSBTAG00000048664	A0AAA9S3A3	
ENSBTAG00000003625	A0AAA9THF3	
ENSBTAG00000003625	A0AAA9SF44	
ENSBTAG00000003625	A0AAA9TEP0	
ENSBTAG00000003625	A0AAF6DLQ9	
ENSBTAG00000045617	A0AAF6DLZ7	
ENSBTAG00000045617	G3N2I6	
ENSBTAG00000045617	G3N2I6	
ENSBTAG00000014016	E1BAW6	
ENSBTAG00000014016	A0AAA9SYF7	
ENSBTAG00000014016	A0A3Q1MIX7	
ENSBTAG00000014016	A0A3Q1LRY3	
ENSBTAG00000014016	A0A3Q1MGE7	
ENSBTAG00000014016	A0AAA9U193	
ENSBTAG00000014016	A0AAA9SNS1	
ENSBTAG00000014016	A0AAA9SF91	
ENSBTAG00000014016	A0A3Q1LR66	
ENSBTAG00000014016	A0AAA9SXL0	
ENSBTAG00000007442	F1MXF5	
ENSBTAG00000007442	A0A3Q1M6C1	
ENSBTAG00000007442	A0A3Q1MK49	
ENSBTAG00000007442	A0A3Q1M796	
ENSBTAG00000001992	A0AAF6YJA9	
ENSBTAG00000001992	A0AAA9SKE4	
ENSBTAG00000001571	E1BPT0	
ENSBTAG00000002750	A7Z069	
ENSBTAG00000002750	A0AAA9T8A8	
ENSBTAG00000002750	A0AAA9TVS9	
ENSBTAG00000034936	A0AAA9SR21	
ENSBTAG00000034936	F1MDC0	
ENSBTAG00000008428	F1N0Y0	
ENSBTAG00000017086	F1MGY2	
ENSBTAG00000017086	A0AAA9TZZ1	
ENSBTAG00000054574		
ENSBTAG00000017086	A0AAA9S0B2	
ENSBTAG00000017086	A0A3Q1LNN8	
ENSBTAG00000054574		
ENSBTAG00000020869	A0AAA9TT83	
ENSBTAG00000020869	A0A3Q1LMM3	
ENSBTAG00000020869	A5PJV5	
ENSBTAG00000020869	A0A3Q1LX98	
ENSBTAG00000020869	A0AAA9SF28	
ENSBTAG00000020869	A0AAA9T273	
ENSBTAG00000020869	A0AAA9TC53	
ENSBTAG00000001500	F1MNE5	
ENSBTAG00000001500	A0AAA9S319	
ENSBTAG00000001500	A0AAA9S319	
ENSBTAG00000001500	A0AAA9S319	
ENSBTAG00000001500	A0AAA9S319	
ENSBTAG00000001500	A0AAA9S319	
ENSBTAG00000001500	A0AAA9S319	
ENSBTAG00000001500	A0AAA9S319	
ENSBTAG00000043955	E1BP04	
ENSBTAG00000005499	A0AAA9ST46	
ENSBTAG00000005499	A0AAA9TPV7	
ENSBTAG00000005499	A0AAA9RYF0	
ENSBTAG00000005499	Q32KZ7	
ENSBTAG00000005499	A0AAA9SEN6	
ENSBTAG00000005499	F1N369	
ENSBTAG00000005499	A0AAA9RZ12	
ENSBTAG00000044068	E1BE14	
ENSBTAG00000023806	A0JNG1	
ENSBTAG00000023806	A0A3Q1M4R7	
ENSBTAG00000054574		
ENSBTAG00000023806	A0A3Q1MSH9	
ENSBTAG00000023806	A0A3Q1N3B3	
ENSBTAG00000002107	A7MB15	
ENSBTAG00000077245		
ENSBTAG00000048169	G3N3S3	
ENSBTAG00000054574		
ENSBTAG00000054574		
ENSBTAG00000054574	A0AAA9RWZ0	
ENSBTAG00000054574	A0A3Q1MJ99	
ENSBTAG00000054574		
ENSBTAG00000054574	A0AAA9T5F2	
ENSBTAG00000054574	A0A3Q1LZB2	
ENSBTAG00000038422	A0AAA9TZS7	
ENSBTAG00000034347	F1N209	
ENSBTAG00000038512	A0AAA9SZE1	
ENSBTAG00000038512	A0AAA9T218	
ENSBTAG00000038512	A0AAA9S2G6	
ENSBTAG00000038512	A0A3Q1LME3	
ENSBTAG00000038512	F6R8Y6	
ENSBTAG00000010462	F1N199	
ENSBTAG00000010462	A0AAA9S7H1	
ENSBTAG00000010462	A0AAA9TNH6	
ENSBTAG00000010462	A0AAA9RYB3	
ENSBTAG00000010462	A0AAA9S6F8	
ENSBTAG00000010462	A0A3Q1N560	
ENSBTAG00000010462	A0A3Q1MJK7	
ENSBTAG00000010462	A0AAA9RV33	
ENSBTAG00000013541	A0A3Q1M8U8	
ENSBTAG00000013541	A0AAF7AFY2	
ENSBTAG00000013541		Q2KIA3
ENSBTAG00000013541	A0A3Q1LNK4	
ENSBTAG00000022360	A0AAF6DMD2	
ENSBTAG00000022360	A0A3Q1LYZ7	
ENSBTAG00000022360	A0AAA9SPZ7	
ENSBTAG00000022360	A0AAA9SP99	
ENSBTAG00000022360	A0A3Q1MWN9	
ENSBTAG00000022360	A0A3Q1MR44	
ENSBTAG00000022360	A0AAA9TDU3	
ENSBTAG00000022360	A0A3Q1LQ49	
ENSBTAG00000005833	F1N378	
ENSBTAG00000010818	A0AAA9RRR5	
ENSBTAG00000010818	A0A3Q1N298	
ENSBTAG00000010818	A0AAA9TGY3	
ENSBTAG00000010818		A4FV57
ENSBTAG00000010818	A0AAA9SYL0	
ENSBTAG00000001673	A0AAA9SAW3	
ENSBTAG00000001673		
ENSBTAG00000001673	A0A3Q1LJS6	
ENSBTAG00000001673	A0A3Q1N459	
ENSBTAG00000001673	A0A3Q1MG72	
ENSBTAG00000001673	A6QLT3	
ENSBTAG00000001673	A0A3Q1ME92	
ENSBTAG00000001673	A0AAA9TZ43	
ENSBTAG00000001673	A0A3Q1M2V2	
ENSBTAG00000000593	F1MRQ8	
ENSBTAG00000000593	A0A3Q1N8K2	
ENSBTAG00000026611		
ENSBTAG00000026611	F1MP06	
ENSBTAG00000010136		Q3SZM5
ENSBTAG00000010136	A0AAA9S237	
ENSBTAG00000019294	A0AAA9SH75	
ENSBTAG00000019294	A0AAA9S3X0	
ENSBTAG00000019294	E1B8L0	
ENSBTAG00000019294	A0A3Q1NJB7	
ENSBTAG00000019294	A0A3Q1LV78	
ENSBTAG00000072324	Q2KHY6	
ENSBTAG00000019603		Q5E9B1
ENSBTAG00000013333	E1B9X7	
ENSBTAG00000013333	A0A3Q1LJJ0	
ENSBTAG00000053951	A0AAA9SDD5	
ENSBTAG00000053951	A0AAF7A9V6	
ENSBTAG00000000379	A0A3Q1LJT9	
ENSBTAG00000000379	A0A3Q1LGL5	
ENSBTAG00000000379	A0AAA9TUG0	
ENSBTAG00000000379	A0AAA9RYB9	
ENSBTAG00000000379		Q2YDE3
ENSBTAG00000021083	F6Q8J0	
ENSBTAG00000021083	A0AAA9S5G9	
ENSBTAG00000021078	A0AAA9RUY3	
ENSBTAG00000021078	A0A452DKI2	
ENSBTAG00000003282	A2VDW7	
ENSBTAG00000003282	A0A3Q1N7T3	
ENSBTAG00000003282		
ENSBTAG00000010530	A0AAA9TT71	
ENSBTAG00000010530	A0A452DIH0	
ENSBTAG00000022329	A0A3Q1LW09	
ENSBTAG00000076736	A0AAA9S6E6	
ENSBTAG00000010717	A0AAA9TBZ2	
ENSBTAG00000019602	E1BC23	
ENSBTAG00000019602	A0AAA9TWQ0	
ENSBTAG00000017260	A0A3Q1M1E8	
ENSBTAG00000008541	F1MXY2	
ENSBTAG00000010717	A8E4N8	
ENSBTAG00000000393	E1BKV5	
ENSBTAG00000010717	A0AAA9TTU2	
ENSBTAG00000010717	A0AAA9TBC1	
ENSBTAG00000010717	A0A3Q1LNU3	
ENSBTAG00000064544	A0AAA9TSN8	
ENSBTAG00000064544	A0AAA9SH82	
ENSBTAG00000021980	A0AAA9SV94	
ENSBTAG00000013961	E1B741	
ENSBTAG00000021980	Q58CQ7	
ENSBTAG00000000749	F1MRA0	
ENSBTAG00000013961	A0A3Q1MUE2	
ENSBTAG00000013961	A0AAA9RXR9	
ENSBTAG00000013961	A0AAA9SY10	
ENSBTAG00000013202	A0AAF6YYJ2	
ENSBTAG00000010715	A0AAA9SJ69	
ENSBTAG00000010715	A0AAA9SVJ5	
ENSBTAG00000010715		A4FUC0
ENSBTAG00000020715	A0AAA9THJ4	
ENSBTAG00000020037	A6QP65	
ENSBTAG00000020037	F6QFF0	
ENSBTAG00000020715	E1B8D1	
ENSBTAG00000020037	A0A3Q1LIS5	
ENSBTAG00000020715	A0AAA9RZU8	
ENSBTAG00000020037	A0A3Q1MDH3	
ENSBTAG00000020037	A0AAA9SH94	
ENSBTAG00000030493		A6QP66
ENSBTAG00000020036	E1BPH1	
ENSBTAG00000004381	F1MSN2	
ENSBTAG00000009778		
ENSBTAG00000017326		Q3SZN3
ENSBTAG00000009778	E1BMX0	
ENSBTAG00000009778	A0AAA9TVM5	
ENSBTAG00000009778	A0A3Q1LMP2	
ENSBTAG00000013802	A0AAA9TP61	
ENSBTAG00000026624		Q0VCR0
ENSBTAG00000013802	A0AAA9SW79	
ENSBTAG00000013802	F1N5F4	
ENSBTAG00000013802	A0A3Q1LIN6	
ENSBTAG00000013802	A0A3Q1M686	
ENSBTAG00000013802	A0AAA9TY97	
ENSBTAG00000013802	A0AAA9TXE1	
ENSBTAG00000013802	A0A3Q1M6E7	
ENSBTAG00000013802	A0AAA9U0X6	
ENSBTAG00000003775	F1N102	
ENSBTAG00000003775	A0AAA9TJ14	
ENSBTAG00000003774	F1MX87	
ENSBTAG00000009314	G3N291	
ENSBTAG00000009314	F1MCE3	
ENSBTAG00000018747	A0AAA9SU81	
ENSBTAG00000002972	A0A3Q1LJE5	
ENSBTAG00000018747	F1MQV7	
ENSBTAG00000002972	A0AAA9RWF5	
ENSBTAG00000002972		Q29RU8
ENSBTAG00000011640		Q3SZE3
ENSBTAG00000024195	E1BLZ7	
ENSBTAG00000019711	A0A3Q1N886	
ENSBTAG00000024195	A0AAA9T736	
ENSBTAG00000024195	A0AAA9RSR4	
ENSBTAG00000019711	F1N4X8	
ENSBTAG00000019711	A0AAA9SWH1	
ENSBTAG00000019198		Q2HJ90
ENSBTAG00000007112		
ENSBTAG00000007112	A0AAA9SIN9	
ENSBTAG00000013825	A0A3Q1ML78	
ENSBTAG00000007112	Q17Q88	
ENSBTAG00000007112	A0AAA9SSY3	
ENSBTAG00000013825	A0AAA9SIM4	
ENSBTAG00000007112		
ENSBTAG00000013825	A0AAA9SX45	
ENSBTAG00000007112		
ENSBTAG00000013825	A0A3Q1LVA2	
ENSBTAG00000013825	A0A3Q1NHD7	
ENSBTAG00000013825	A0AAA9TT43	
ENSBTAG00000064751		
ENSBTAG00000013825	A4IFQ7	
ENSBTAG00000013825	A0AAA9RVJ0	
ENSBTAG00000073273	Q32KS3	
ENSBTAG00000064751		
ENSBTAG00000064751		
ENSBTAG00000064751	A0AAA9S815	
ENSBTAG00000050962	A0A3Q1LL04	
ENSBTAG00000006625	A0A3Q1LVB4	
ENSBTAG00000006625	A0A3Q1M337	
ENSBTAG00000006625	E1BM06	
ENSBTAG00000017986	F1MXG5	
ENSBTAG00000009062	F1MXH8	
ENSBTAG00000009527	F1MBR2	
ENSBTAG00000009526	A0A3Q1LQR0	
ENSBTAG00000009526	A0AAF6YU24	
ENSBTAG00000009526		
ENSBTAG00000012514	A0AAA9SEE7	
ENSBTAG00000020996	F1MBF4	
ENSBTAG00000012514	E1BHH6	
ENSBTAG00000020996	A0AAA9S2P1	
