mouse_exon1	mouse_exon2	human_exon1	human_exon2	human_coord1	human_coord2	identity1	identity2	avg_identity
chr2:61590980:61591051:1	chr8:108312337:108312429:-1	ENSE00001130164	ENSE00003536114	chr2:161367478:161367549:1	chr16:74301052:74301144:1	0.89	0.94	0.915
chr2:61607017:61607124:1	chr8:108310805:108310885:-1	ENSE00001130723	ENSE00003607341	chr2:161385464:161385571:1	chr16:74302212:74302292:1	0.96	0.84	0.8999999999999999
chr8:108313257:108313348:-1	chr2:61627739:61627801:1	ENSE00003670943	ENSE00003487962	chr16:74300115:74300206:1	chr2:161408837:161408899:1	0.95	0.98	0.965
chr13:113043519:113043650:-1	chr12:100109998:100110448:-1	ENSE00003658838	ENSE00003623868	chr5:55347013:55347144:1	chr14:90303935:90304382:-1	0.87	0.81	0.8400000000000001
chr13:113023289:113023399:-1	chr12:100109998:100110448:-1	ENSE00003501830	ENSE00003623868	chr5:55397416:55397526:1	chr14:90303935:90304382:-1	0.89	0.81	0.8500000000000001
chr13:113023969:113024097:-1	chr12:100109998:100110448:-1	ENSE00003619216	ENSE00003623868	chr5:55387974:55388102:1	chr14:90303935:90304382:-1	0.82	0.81	0.815
chr13:113045429:113045531:-1	chr12:100109998:100110448:-1	ENSE00003604791	ENSE00003623868	chr5:55345094:55345196:1	chr14:90303935:90304382:-1	0.95	0.81	0.88
chr13:113046350:113046448:-1	chr12:100109998:100110448:-1	ENSE00003650639	ENSE00003623868	chr5:55344522:55344620:1	chr14:90303935:90304382:-1	0.92	0.81	0.865
chr13:113035299:113035424:-1	chr12:100109998:100110448:-1	ENSE00003633708	ENSE00003623868	chr5:55358573:55358698:1	chr14:90303935:90304382:-1	0.86	0.81	0.835
chr13:81039569:81039761:1		ENSE00000870713	ENSE00003613308	chr5:91373684:91373838:-1	chr15:55850542:55850742:-1	0.72	0.0	0.36
chr13:81039181:81039343:1		ENSE00001151970	ENSE00003613308	chr5:91374114:91374276:-1	chr15:55850542:55850742:-1	0.85	0.0	0.425
chr13:113011130:113011186:-1	chr12:100109998:100110448:-1	ENSE00003623839	ENSE00003623868	chr5:55414182:55414238:1	chr14:90303935:90304382:-1	0.89	0.81	0.8500000000000001
chr9:75118300:75118450:1	chr8:124086081:124086250:1	ENSE00000942057	ENSE00003528189	chr15:52321359:52321509:-1	chr16:89858338:89858507:1	0.93	0.82	0.875
chr9:69371759:69371806:1	chr3:20113063:20113270:1	ENSE00003623344	ENSE00003665045	chr15:60386028:60386086:-1	chr3:149084682:149084889:-1	0.78	0.83	0.8049999999999999
chr8:80433863:80433948:-1	chr18:35041095:35041250:-1	ENSE00001081977	ENSE00001129273	chr4:145105605:145105690:1	chr5:138511045:138511200:-1	0.94	0.97	0.955
chr8:80433863:80433948:-1	chr18:35039035:35039182:-1	ENSE00001081977	ENSE00001129265	chr4:145105605:145105690:1	chr5:138508669:138508816:-1	0.94	0.91	0.925
chr5:100947418:100947479:1	chr3:8965046:8965227:-1	ENSE00001233635	ENSE00003562403	chr4:83456909:83456958:1	chr8:80002999:80003180:-1	0.73	0.84	0.7849999999999999
chr5:100947418:100947479:1	chr11:88096015:88096185:1	ENSE00001233635	ENSE00003553527	chr4:83456909:83456958:1	chr17:57849240:57849410:-1	0.73	0.83	0.78
chr13:38241113:38241232:1	chr7:12659664:12659792:1	ENSE00003620506	ENSE00003892253	chr6:7411332:7411451:1	chr19:58393359:58393487:1	0.8	0.9	0.8500000000000001
chr13:38241113:38241232:1	chr10:128461932:128462109:-1	ENSE00003620506	ENSE00001424213	chr6:7411332:7411451:1	chr12:56042425:56042602:1	0.8	0.87	0.835
chr13:38236245:38236348:1	chr7:12659664:12659792:1	ENSE00003534695	ENSE00003892253	chr6:7404918:7405021:1	chr19:58393359:58393487:1	0.86	0.9	0.88
chr13:113041520:113041599:-1	chr12:100109998:100110448:-1	ENSE00003586155	ENSE00003623868	chr5:55349573:55349652:1	chr14:90303935:90304382:-1	0.93	0.81	0.8700000000000001
chr9:123648112:123648256:-1	chr8:122320229:122320389:1	ENSE00003657913	ENSE00003495891	chr3:45955249:45955393:-1	chr16:87398815:87398870:1	0.83	0.34	0.585
chr9:123648112:123648256:-1	chr2:155118878:155118933:1	ENSE00003657913	ENSE00000860117	chr3:45955249:45955393:-1	chr20:34559208:34559263:1	0.83	0.95	0.8899999999999999
chr9:123648112:123648256:-1	chr2:155119018:155119124:1	ENSE00003657913	ENSE00003481730	chr3:45955249:45955393:-1	chr20:34559347:34559453:1	0.83	0.95	0.8899999999999999
chr12:69353964:69354073:1	chr14:29695318:29695404:1	ENSE00003594102	ENSE00003673177	chr14:49780213:49780322:1	chr3:53885826:53885912:-1	0.9	0.91	0.905
chr12:69355732:69355819:1	chr14:29695318:29695404:1	ENSE00003526773	ENSE00003673177	chr14:49782370:49782457:1	chr3:53885826:53885912:-1	0.89	0.91	0.9
chr12:69349098:69349215:1	chr14:29695318:29695404:1	ENSE00003666493	ENSE00003673177	chr14:49774561:49774678:1	chr3:53885826:53885912:-1	0.87	0.91	0.89
chr4:9484472:9484607:-1	chr8:13096046:13096159:1	ENSE00003805760	ENSE00003650233	chr8:61525977:61526112:-1	chr13:113139357:113139470:1	0.9	0.79	0.845
chr4:9531915:9532065:-1	chr8:13096046:13096159:1	ENSE00003804729	ENSE00003650233	chr8:61567168:61567318:-1	chr13:113139357:113139470:1	0.81	0.79	0.8
chr4:9474898:9475031:-1	chr8:13096046:13096159:1	ENSE00003801365	ENSE00003650233	chr8:61517528:61517661:-1	chr13:113139357:113139470:1	0.9	0.79	0.845
chr4:9508627:9508764:-1	chr8:13096046:13096159:1	ENSE00003804214	ENSE00003650233	chr8:61548071:61548208:-1	chr13:113139357:113139470:1	0.87	0.79	0.8300000000000001
chr4:9514589:9514678:-1	chr8:13096046:13096159:1	ENSE00003804713	ENSE00003650233	chr8:61553031:61553120:-1	chr13:113139357:113139470:1	0.88	0.79	0.835
chr4:9529886:9530022:-1	chr8:13096046:13096159:1	ENSE00003803149	ENSE00003650233	chr8:61562744:61562880:-1	chr13:113139357:113139470:1	0.85	0.79	0.8200000000000001
chr4:9475390:9475481:-1	chr8:13096046:13096159:1	ENSE00003806593	ENSE00003650233	chr8:61518032:61518123:-1	chr13:113139357:113139470:1	0.88	0.79	0.835
chr4:9517636:9517734:-1	chr8:13096046:13096159:1	ENSE00003809256	ENSE00003650233	chr8:61555924:61556022:-1	chr13:113139357:113139470:1	0.88	0.79	0.835
chr12:69351318:69351401:1	chr14:29695318:29695404:1	ENSE00003552487	ENSE00003673177	chr14:49778411:49778494:1	chr3:53885826:53885912:-1	0.93	0.91	0.92
chr8:80412574:80412685:-1	chr15:79965816:79965984:-1	ENSE00003636730	ENSE00003465930	chr4:145124990:145125101:1	chr22:39317461:39317629:-1	0.9	0.88	0.89
chr8:80412574:80412685:-1	chr4:86774383:86774593:-1	ENSE00003636730	ENSE00000927963	chr4:145124990:145125101:1	chr9:19378708:19378918:-1	0.9	0.87	0.885
