hsa	bta
hsa0000000001	bta0000139974
hsa0000000005	bta0000139978
hsa0000000006	bta0000139978
hsa0000000008	bta0000139979
hsa0000000009	bta0000139980
hsa0000000010	bta0000139981
hsa0000000012	bta0000139983
hsa0000000015	bta0000139986
hsa0000000017	bta0000139988
hsa0000000020	bta0000139991
hsa0000000041	bta0000138390
hsa0000000042	bta0000138392
hsa0000000044	bta0000138394
hsa0000000045	bta0000138394
hsa0000000046	bta0000138395
hsa0000000048	bta0000138397
hsa0000000081	bta0000140004
hsa0000000083	bta0000133187
hsa0000000083	bta0000137992
hsa0000000089	bta0000133190
hsa0000000089	bta0000137995
hsa0000000091	bta0000133191
hsa0000000091	bta0000137996
hsa0000000098	bta0000139219
hsa0000000103	bta0000139222
hsa0000000105	bta0000137637
hsa0000000106	bta0000137638
hsa0000000107	bta0000137639
hsa0000000109	bta0000137641
hsa0000000112	bta0000137644
hsa0000000113	bta0000137645
hsa0000000114	bta0000137646
hsa0000000116	bta0000137648
hsa0000000122	bta0000137653
hsa0000000124	bta0000137655
hsa0000000125	bta0000137656
hsa0000000126	bta0000137656
hsa0000000130	bta0000139870
hsa0000000134	bta0000139873
hsa0000000136	bta0000139875
hsa0000000138	bta0000139877
hsa0000000153	bta0000141093
hsa0000000155	bta0000141095
hsa0000000167	bta0000139690
hsa0000000168	bta0000139690
hsa0000000178	bta0000139696
hsa0000000183	bta0000139700
hsa0000000185	bta0000139701
hsa0000000192	bta0000139707
hsa0000000196	bta0000139326
hsa0000000198	bta0000139328
hsa0000000201	bta0000139331
hsa0000000203	bta0000139333
hsa0000000210	bta0000139340
hsa0000000211	bta0000139341
hsa0000000213	bta0000139343
hsa0000000215	bta0000139344
hsa0000000216	bta0000139345
hsa0000000218	bta0000139346
hsa0000000221	bta0000139349
hsa0000000223	bta0000139351
hsa0000000224	bta0000139352
hsa0000000226	bta0000139354
hsa0000000227	bta0000139355
hsa0000000228	bta0000139356
hsa0000000229	bta0000139357
hsa0000000230	bta0000139358
hsa0000000233	bta0000139361
hsa0000000234	bta0000139362
hsa0000000236	bta0000139364
hsa0000000239	bta0000139367
hsa0000000240	bta0000139368
hsa0000000244	bta0000139372
hsa0000000245	bta0000139373
hsa0000000246	bta0000139374
hsa0000000247	bta0000139375
hsa0000000249	bta0000139376
hsa0000000250	bta0000139377
hsa0000000251	bta0000139378
hsa0000000252	bta0000139379
hsa0000000256	bta0000139383
hsa0000000257	bta0000139383
hsa0000000259	bta0000139385
hsa0000000262	bta0000139387
hsa0000000264	bta0000139388
hsa0000000265	bta0000139389
hsa0000000268	bta0000139392
hsa0000000269	bta0000139393
hsa0000000271	bta0000139395
hsa0000000275	bta0000139179
hsa0000000276	bta0000139180
hsa0000000288	bta0000021325
hsa0000000290	bta0000021327
hsa0000000296	bta0000021332
hsa0000000297	bta0000021333
hsa0000000298	bta0000021334
hsa0000000299	bta0000021335
hsa0000000305	bta0000139276
hsa0000000307	bta0000139278
hsa0000000374	bta0000020726
hsa0000000375	bta0000020727
hsa0000000376	bta0000020728
hsa0000000377	bta0000020729
hsa0000000382	bta0000020732
hsa0000000384	bta0000020734
hsa0000000386	bta0000138029
hsa0000000387	bta0000138030
hsa0000000388	bta0000138031
hsa0000000390	bta0000138033
hsa0000000394	bta0000138021
hsa0000000397	bta0000138024
hsa0000000398	bta0000138025
hsa0000000399	bta0000037371
hsa0000000472	bta0000022827
hsa0000000473	bta0000022828
hsa0000000474	bta0000022829
hsa0000000475	bta0000022830
hsa0000000477	bta0000022832
hsa0000000478	bta0000022833
hsa0000000479	bta0000022834
hsa0000000482	bta0000022837
hsa0000000486	bta0000022841
hsa0000000487	bta0000022842
hsa0000000497	bta0000022851
hsa0000000499	bta0000022853
hsa0000000503	bta0000022857
hsa0000000505	bta0000037391
hsa0000000507	bta0000036718
hsa0000000508	bta0000036719
hsa0000000509	bta0000036721
hsa0000000510	bta0000036723
hsa0000000511	bta0000036725
hsa0000000513	bta0000036727
hsa0000000514	bta0000036728
hsa0000000516	bta0000036730
hsa0000000517	bta0000036731
hsa0000000518	bta0000036732
hsa0000000519	bta0000036733
hsa0000000520	bta0000036734
hsa0000000521	bta0000036735
hsa0000000522	bta0000036736
hsa0000000523	bta0000036737
hsa0000000524	bta0000021920
hsa0000000526	bta0000021922
hsa0000000550	bta0000036315
hsa0000000551	bta0000036316
hsa0000000552	bta0000036317
hsa0000000553	bta0000036318
hsa0000000553	bta0000036319
hsa0000000555	bta0000035833
hsa0000000556	bta0000035834
hsa0000000557	bta0000035835
hsa0000000558	bta0000035836
hsa0000000559	bta0000035837
hsa0000000560	bta0000035838
hsa0000000561	bta0000035839
hsa0000000586	bta0000035895
hsa0000000587	bta0000016689
hsa0000000588	bta0000016690
hsa0000000589	bta0000016691
hsa0000000592	bta0000016694
hsa0000000595	bta0000016697
hsa0000000598	bta0000016700
hsa0000000600	bta0000036768
hsa0000000602	bta0000036770
hsa0000000605	bta0000036773
hsa0000000628	bta0000016711
hsa0000000639	bta0000016725
hsa0000000642	bta0000016728
hsa0000000650	bta0000016738
hsa0000000651	bta0000035819
hsa0000000652	bta0000035820
hsa0000000653	bta0000035820
hsa0000000654	bta0000035821
hsa0000000655	bta0000035822
hsa0000000658	bta0000035825
hsa0000000668	bta0000036774
hsa0000000669	bta0000036776
hsa0000000670	bta0000036778
hsa0000000672	bta0000036779
hsa0000000673	bta0000036780
hsa0000000675	bta0000036781
hsa0000000676	bta0000036782
hsa0000000677	bta0000036783
hsa0000000678	bta0000036784
hsa0000000679	bta0000036785
hsa0000000680	bta0000036786
hsa0000000681	bta0000036787
hsa0000000682	bta0000036788
hsa0000000683	bta0000036789
hsa0000000684	bta0000036790
hsa0000000685	bta0000036791
hsa0000000692	bta0000036797
hsa0000000694	bta0000036799
hsa0000000696	bta0000036801
hsa0000000697	bta0000036802
hsa0000000698	bta0000036803
hsa0000000699	bta0000036804
hsa0000000700	bta0000036805
hsa0000000701	bta0000036765
hsa0000000704	bta0000036643
hsa0000000706	bta0000036646
hsa0000000707	bta0000036647
hsa0000000708	bta0000036648
hsa0000000709	bta0000036649
hsa0000000710	bta0000036650
hsa0000000711	bta0000036651
hsa0000000720	bta0000036742
hsa0000000722	bta0000036744
hsa0000000723	bta0000036745
hsa0000000725	bta0000036747
hsa0000000730	bta0000036751
hsa0000000731	bta0000036752
hsa0000000732	bta0000036753
hsa0000000734	bta0000036755
hsa0000000736	bta0000036757
hsa0000000738	bta0000036759
hsa0000000741	bta0000036762
hsa0000000744	bta0000036293
hsa0000000747	bta0000036296
hsa0000000748	bta0000036297
hsa0000000750	bta0000036299
hsa0000000751	bta0000036299
hsa0000000756	bta0000036303
hsa0000000761	bta0000036308
hsa0000000782	bta0000027630
hsa0000000790	bta0000027635
hsa0000000791	bta0000027636
hsa0000000793	bta0000035829
hsa0000000794	bta0000035830
hsa0000000796	bta0000035831
hsa0000000797	bta0000035832
hsa0000000819	bta0000027430
hsa0000000824	bta0000027437
hsa0000000829	bta0000027684
hsa0000000833	bta0000027687
hsa0000000836	bta0000033691
hsa0000000837	bta0000033691
hsa0000000838	bta0000033692
hsa0000000839	bta0000033693
hsa0000000842	bta0000033694
hsa0000000844	bta0000033696
hsa0000000845	bta0000033697
hsa0000000849	bta0000033700
hsa0000000850	bta0000033700
hsa0000000858	bta0000033703
hsa0000000859	bta0000033703
hsa0000000863	bta0000033705
hsa0000000866	bta0000033707
hsa0000000867	bta0000033708
hsa0000000868	bta0000033709
hsa0000000869	bta0000033710
hsa0000000871	bta0000033712
hsa0000000875	bta0000033715
hsa0000000876	bta0000033716
hsa0000000885	bta0000027383
hsa0000000886	bta0000027384
hsa0000000887	bta0000027385
hsa0000000888	bta0000027386
hsa0000000889	bta0000027387
hsa0000000891	bta0000027389
hsa0000000893	bta0000027391
hsa0000000896	bta0000027393
hsa0000000897	bta0000027394
hsa0000000898	bta0000027395
hsa0000000899	bta0000027396
hsa0000000915	bta0000027223
