Gene stable ID	UniProtKB/Swiss-Prot ID
ENSRNOG00000030644	P03889
ENSRNOG00000031033	P11662
ENSRNOG00000034234	P05503
ENSRNOG00000030371	P00406
ENSRNOG00000033299	P11608
ENSRNOG00000031979	P05504
ENSRNOG00000030700	P05505
ENSRNOG00000033615	P05506
ENSRNOG00000031053	P05507
ENSRNOG00000029707	P05508
ENSRNOG00000029971	P11661
ENSRNOG00000029042	P03926
ENSRNOG00000031766	P00159
ENSRNOG00000009954	Q5XI53
ENSRNOG00000010117	Q1JU68
ENSRNOG00000017438	Q62997
ENSRNOG00000017656	Q6AXT4
ENSRNOG00000018350	A0MZ67
ENSRNOG00000008824	Q9JM00
ENSRNOG00000032706	Q6Q1P3
ENSRNOG00000025154	P55770
ENSRNOG00000076409	P83941
ENSRNOG00000042458	Q68SB1
ENSRNOG00000042458	Q68SB1
ENSRNOG00000042458	Q68SB1
ENSRNOG00000042458	Q68SB1
ENSRNOG00000006681	Q80ZF7
ENSRNOG00000007354	Q6RI86
ENSRNOG00000016298	Q5M836
ENSRNOG00000031656	Q9R1A0
ENSRNOG00000007680	Q6AXT1
ENSRNOG00000030237	P80432
ENSRNOG00000007831	B2GV24
ENSRNOG00000045649	Q6TXF1
ENSRNOG00000070149	Q99JB3
ENSRNOG00000008626	Q5GF25
ENSRNOG00000007030	P54759
ENSRNOG00000005724	P0C8E4
ENSRNOG00000014139	Q8CJ99
ENSRNOG00000038330	Q5M845
ENSRNOG00000010248	Q9JLD2
ENSRNOG00000024213	Q5BJK8
ENSRNOG00000011705	P21818
ENSRNOG00000021581	F1M386
ENSRNOG00000012095	P63249
ENSRNOG00000008748	P24392
ENSRNOG00000027408	Q6DGG0
ENSRNOG00000021359	G3V9A7
ENSRNOG00000028708	P20789
ENSRNOG00000012851	D3ZD82
ENSRNOG00000012723	Q5PQN5
ENSRNOG00000012703	P01143
ENSRNOG00000061690	O70608
ENSRNOG00000014485	G3V7W1
ENSRNOG00000014721	Q75NT5
ENSRNOG00000014721	Q62825
ENSRNOG00000072254	P62632
ENSRNOG00000012722	Q5PR01
ENSRNOG00000015159	P26433
ENSRNOG00000028261	D3ZQL7
ENSRNOG00000017601	P24008
ENSRNOG00000015810	Q5XHZ9
ENSRNOG00000027513	Q5RJZ1
ENSRNOG00000014235	Q5PPF5
ENSRNOG00000016372	Q5RK27
ENSRNOG00000026501	Q2A865
ENSRNOG00000025327	Q673L6
ENSRNOG00000025327	Q673L6
ENSRNOG00000017302	P23977
ENSRNOG00000017930	Q1HAQ0
ENSRNOG00000023407	B2RZ39
ENSRNOG00000023407	B2RZ39
ENSRNOG00000006144	Q62682
ENSRNOG00000005652	Q62845
ENSRNOG00000027422	Q68FN9
ENSRNOG00000017826	Q498R1
ENSRNOG00000017826	Q498R1
ENSRNOG00000006534	Q56AP7
ENSRNOG00000055860	Q66HA6
ENSRNOG00000015067	Q5XIL6
ENSRNOG00000015067	Q5XIL6
ENSRNOG00000015067	Q5XIL6
ENSRNOG00000006802	Q32Q07
ENSRNOG00000006802	Q32Q07
ENSRNOG00000080504	Q5XIL6
ENSRNOG00000015202	P60905
ENSRNOG00000010747	Q9QX67
ENSRNOG00000011588	Q5XIK5
ENSRNOG00000011260	Q7TP52
ENSRNOG00000032517	P97528
ENSRNOG00000051498	A1A5S1
ENSRNOG00000011632	Q68FQ0
ENSRNOG00000022347	D3ZLY0
ENSRNOG00000061595	Q63302
ENSRNOG00000010161	D3ZJP6
ENSRNOG00000061153	Q9QYN8
ENSRNOG00000061153	Q9QYN8
ENSRNOG00000051952	Q2LAP6
ENSRNOG00000010589	Q5FVM3
ENSRNOG00000060449	P05765
ENSRNOG00000006206	Q6AYA5
ENSRNOG00000057290	Q5PQM0
ENSRNOG00000061845	Q2IBD4
ENSRNOG00000014178	B1WC61
